rank,name,sail,rating,type,elapsed,corrected,finish_local,division,class_rank,status,retire_reason
74,Madcap,USA51092,0.7513,Santa Cruz 52,3d 15:22:39,2d 17:38:48,2026-06-23 04:42:39,SDL 8,3,FIN,
75,Good News,USA7065,0.7373,J/125,3d 17:12:43,2d 17:46:33,2026-06-23 06:42:43,SDL 7,7,FIN,
76,Cool Breeze,USA60432,0.7186,Mills 43 Custom,3d 20:17:29,2d 18:19:14,2026-06-23 09:47:29,SDL 7,8,FIN,
77,August West,48234,0.7099,Swan 48,3d 23:33:09,2d 19:49:58,2026-06-23 12:23:09,SDL 8,4,FIN,
78,Polaris,USA66866,0.7233,Sydney 47,3d 23:47:59,2d 21:17:31,2026-06-23 13:17:59,SDL 7,9,FIN,
79,Wahoo,US52599,0.7741,Ker 50,3d 17:56:07,2d 21:37:08,2026-06-23 07:16:07,SDL 8,5,FIN,
80,Pterodactyl,USA45045,0.8503,R/P 45,3d 11:56:42,2d 23:22:42,2026-06-23 01:16:42,SDL 8,6,FIN,
81,Rhumb Runner,USA61489,0.7487,Neo 430,4d 01:45:16,3d 01:11:20,2026-06-23 15:05:16,SDL 8,7,FIN,
82,Hunter,USA2388,0.7973,Mills 41,3d 20:53:17,3d 02:03:35,2026-06-23 10:13:17,SDL 8,8,FIN,
,Temptation Oakcliff JV66,USA119,1.0000,JV 66,,,,SDL 8,,DNF,Mechanical issues
,Hydromec,CAN17,0.7281,Farr 40,,,,SDL 7,,DNF,"Rudder damage, all well onboard"
,Dancing Bear,40122,0.5324,Northeast 39,,,,SDL 1,,DNF,"Damaged rudder cable, all well onboard"
,Cougar,USA4900,0.7118,J/160 SD,,,,SDL 8,,DNF,Retired after finish
